index,date,open,high,low,close,adj close,volume,closeusd
HSI,2017-11-09,28987.78906,29192.50977,28960.05078,29136.57031,29136.57031,1.8229981E9,3787.7541403
HSI,2017-11-20,29227.08008,29299.86914,29089.58008,29260.31055,29260.31055,1.61991E9,3803.8403715
HSI,2018-01-05,30893.85938,30911.00977,30638.5293,30814.64063,30814.64063,2.2639301E9,4005.9032819000004
HSI,2018-03-08,30523.67969,30724.0293,30428.60938,30654.51953,30654.51953,1.52939E9,3985.0875389000003
HSI,2018-03-28,30510.38086,30637.21094,30022.5293,30022.5293,30022.5293,2.2090283E9,3902.928809
HSI,2018-05-31,30274.17969,30533.58008,30148.42969,30468.56055,30468.56055,4.1100036E9,3960.9128714999997
HSI,2018-10-11,25392.90039,25437.84961,25125.2207,25266.36914,25266.36914,3.0904464E9,3284.6279882
HSI,2018-11-20,26043.50977,26132.28906,25776.2207,25840.33984,25840.33984,1.2058E9,3359.2441792
HSI,2019-01-04,24946.11914,25626.0293,24924.73047,25626.0293,25626.0293,1.7085721E9,3331.383809
HSI,2019-03-08,28409.14063,28533.75977,28201.08984,28228.41992,28228.41992,2.9989996E9,3669.6945896
HSI,2019-05-20,27959.23047,27999.59961,27699.23047,27787.60938,27787.60938,2.2604685E9,3612.3892194000005
HSI,2019-05-28,27274.83008,27490.55078,27230.08984,27390.81055,27390.81055,3.0437115E9,3560.8053715
HSI,2019-06-12,27603.11914,27603.11914,27222.0293,27308.46094,27308.46094,1.8668842E9,3550.0999222
HSI,2019-07-08,28513.14063,28541.09961,28194.07031,28331.68945,28331.68945,1.2508743E9,3683.1196285000005
HSI,2019-09-27,25977.98047,26017.46094,25840.66016,25954.81055,25954.81055,9.842795E8,3374.1253715
HSI,2019-11-22,26584.88086,26690.16992,26487.66992,26595.08008,26595.08008,1.1004319E9,3457.3604104
HSI,2019-12-24,27901.50977,27921.28906,27792.66016,27864.21094,27864.21094,4.839841E8,3622.3474222000004
HSI,2020-03-04,26321.56055,26372.48047,26038.39063,26222.07031,26222.07031,1.9570624E9,3408.8691403
HSI,2020-04-07,24093.05078,24262.00977,23796.0293,24253.28906,24253.28906,2.5350346E9,3152.9275778
HSI,2020-05-11,24470.17969,24766.83008,24470.17969,24602.06055,24602.06055,1.4582E9,3198.2678714999997
HSI,2020-06-26,24697.98047,24756.58008,24537.76953,24549.99023,24549.99023,1.5092601E9,3191.4987299
HSI,2020-07-16,25549.40039,25576.49023,24919.94922,24970.68945,24970.68945,1.9350517E9,3246.1896285000003
HSI,2020-07-31,24747.28906,24938.84961,24534.78906,24595.34961,24595.34961,1.7632339E9,3197.3954493
HSI,2021-05-05,28427.66992,28677.35938,28325.96094,28417.98047,28417.98047,1.7208377E9,3694.3374611
HSI,2021-05-28,29219.46094,29336.13086,29033.7207,29124.41016,29124.41016,2.5915595E9,3786.1733208
NYA,2016-01-21,9164.169922,9311.570313,9102.389648,9226.570313,9226.570313,5.07881E9,9226.570313
NYA,2016-03-10,9954.160156,10004.33008,9826.519531,9918.070313,9918.070313,4.37679E9,9918.070313
NYA,2016-04-14,10359.19043,10377.66016,10334.4502,10360.24023,10360.24023,3.76587E9,10360.24023
NYA,2016-04-19,10463.63965,10528.63965,10424.92969,10517.29981,10517.29981,3.89683E9,10517.29981
NYA,2016-06-24,10335.91992,10360.09961,10164.41992,10183.50977,10183.50977,7.59745E9,10183.50977
NYA,2016-06-28,10073.15039,10161.16016,10063.83008,10161.16016,10161.16016,4.38581E9,10161.16016
NYA,2016-09-26,10675.25,10678.12012,10621.05957,10624.87988,10624.87988,3.21617E9,10624.87988
NYA,2016-10-06,10664.54004,10684.90039,10627.7002,10675.74023,10675.74023,3.46155E9,10675.74023
NYA,2016-12-13,11216.83008,11256.07031,11189.42969,11237.16992,11237.16992,3.85759E9,11237.16992
NYA,2017-01-31,11195.51953,11225.94043,11166.20996,11222.95996,11222.95996,4.08745E9,11222.95996
NYA,2017-06-21,11742.48047,11753.30957,11678.90039,11696.28027,11696.28027,3.59482E9,11696.28027
NYA,2017-06-23,11716.58008,11750.33008,11702.09961,11733.2002,11733.2002,5.27833E9,11733.2002
NYA,2017-07-03,11801.44043,11869.82031,11801.44043,11835.71973,11835.71973,1.96229E9,11835.71973
NYA,2017-08-03,11968.48047,11975.41992,11944.19043,11956.51953,11956.51953,3.64502E9,11956.51953
NYA,2017-08-14,11820.17969,11879.03027,11820.17969,11856.05957,11856.05957,2.82255E9,11856.05957
NYA,2017-09-01,11897.96973,11934.96973,11897.96973,11918.08008,11918.08008,2.71073E9,11918.08008
NYA,2017-12-19,12803.17969,12807.12988,12747.25977,12747.54004,12747.54004,3.36859E9,12747.54004
NYA,2018-01-18,13341.75977,13353.13965,13299.92969,13315.91016,13315.91016,3.68147E9,13315.91016
NYA,2018-03-09,12802.13965,12918.82031,12782.92969,12918.82031,12918.82031,3.3641E9,12918.82031
NYA,2018-04-10,12380.55957,12601.25,12380.55957,12565.96973,12565.96973,3.54393E9,12565.96973
NYA,2018-05-04,12335.41016,12527.92969,12310.90039,12493.34961,12493.34961,3.32722E9,12493.34961
NYA,2018-07-10,12795.45996,12820.08008,12782.76953,12814.63965,12814.63965,3.06385E9,12814.63965
NYA,2018-09-24,13235.20996,13237.80957,13148.66992,13162.04981,13162.04981,3.37221E9,13162.04981
NYA,2018-10-01,13146.29981,13169.79981,13099.94043,13125.34961,13125.34961,3.36419E9,13125.34961
NYA,2018-12-10,11922.71973,11939.04004,11696.58008,11889.29004,11889.29004,4.15103E9,11889.29004
NYA,2019-04-16,12986.29981,13002.83984,12934.25,12952.24023,12952.24023,3.40221E9,12952.24023
NYA,2019-05-29,12398.24023,12405.11035,12309.12988,12386.20996,12386.20996,3.70005E9,12386.20996
NYA,2019-08-01,13053.66016,13154.37988,12890.98047,12920.82031,12920.82031,4.7623E9,12920.82031
NYA,2019-10-17,13030.50977,13078.12012,13021.40039,13039.23047,13039.23047,3.11596E9,13039.23047
NYA,2019-11-07,13376.92969,13436.96973,13376.92969,13395.54981,13395.54981,4.14464E9,13395.54981
NYA,2019-11-14,13385.04981,13397.04004,13346.75977,13392.0,13392.0,3.27607E9,13392.0
NYA,2019-12-09,13570.54004,13600.13965,13555.07031,13555.07031,13555.07031,3.34599E9,13555.07031
NYA,2020-02-11,13984.48047,14100.26953,13984.48047,14054.08008,14054.08008,3.76055E9,14054.08008
NYA,2020-02-28,12547.25,12547.25,12024.4502,12380.96973,12380.96973,8.56385E9,12380.96973
NYA,2020-03-23,9014.580078,9053.490234,8664.94043,8777.379883,8777.379883,7.40218E9,8777.379883
NYA,2020-05-27,11787.55957,11837.54981,11602.42969,11837.53027,11837.53027,6.37123E9,11837.53027
NYA,2020-08-05,12612.08984,12751.36035,12612.08984,12731.54981,12731.54981,4.73222E9,12731.54981
NYA,2020-08-25,13029.90039,13029.90039,12943.15039,13001.99023,13001.99023,3.6193E9,13001.99023
NYA,2020-10-20,13018.50977,13198.01953,13018.50977,13092.16016,13092.16016,3.90126E9,13092.16016
NYA,2020-12-14,14445.36035,14459.65039,14214.03027,14214.92969,14214.92969,4.59492E9,14214.92969
NYA,2021-02-10,15244.40039,15343.78027,15183.95996,15273.90039,15273.90039,4.81538E9,15273.90039
IXIC,2016-02-22,4548.310059,4576.470215,4546.549805,4570.609863,4570.609863,1.79402E9,4570.609863
IXIC,2016-04-28,4857.600098,4889.160156,4796.319824,4805.290039,4805.290039,2.1614E9,4805.290039
IXIC,2016-08-04,5158.02002,5174.0,5145.390137,5166.25,5166.25,1.93E9,5166.25
IXIC,2016-08-08,5223.540039,5228.399902,5202.180176,5213.140137,5213.140137,1.62445E9,5213.140137
IXIC,2016-08-26,5219.049805,5253.390137,5191.859863,5218.919922,5218.919922,1.59106E9,5218.919922
IXIC,2016-09-12,5098.029785,5217.879883,5097.799805,5211.890137,5211.890137,2.00761E9,5211.890137
IXIC,2016-11-23,5366.549805,5380.680176,5350.680176,5380.680176,5380.680176,1.61674E9,5380.680176
IXIC,2017-01-11,5550.720215,5564.080078,5524.029785,5563.649902,5563.649902,1.95472E9,5563.649902
IXIC,2017-03-02,5897.009766,5897.009766,5856.299805,5861.220215,5861.220215,2.04077E9,5861.220215
IXIC,2017-04-11,5871.160156,5878.939941,5819.290039,5866.77002,5866.77002,1.82165E9,5866.77002
IXIC,2017-06-16,6154.279785,6161.560059,6125.5,6151.759766,6151.759766,3.12064E9,6151.759766
IXIC,2017-08-22,6241.209961,6302.839844,6241.209961,6297.47998,6297.47998,1.5977E9,6297.47998
IXIC,2017-09-19,6465.569824,6467.790039,6446.75,6461.319824,6461.319824,1.80971E9,6461.319824
IXIC,2017-12-26,6928.919922,6942.140137,6915.560059,6936.25,6936.25,1.30434E9,6936.25
IXIC,2018-02-21,7258.47998,7338.640137,7218.109863,7218.22998,7218.22998,1.94601E9,7218.22998
IXIC,2018-07-03,7593.629883,7594.330078,7498.5,7502.669922,7502.669922,1.17931E9,7502.669922
IXIC,2018-07-26,7848.040039,7881.299805,7834.080078,7852.180176,7852.180176,2.26307E9,7852.180176
IXIC,2018-10-04,7993.330078,7997.169922,7833.160156,7879.509766,7879.509766,3.28455E9,7879.509766
IXIC,2019-01-17,7010.129883,7113.950195,7003.620117,7084.459961,7084.459961,2.12884E9,7084.459961
IXIC,2019-02-27,7526.419922,7562.290039,7485.390137,7554.509766,7554.509766,2.42336E9,7554.509766
IXIC,2019-08-16,7828.350098,7907.52002,7828.350098,7895.990234,7895.990234,1.99513E9,7895.990234
IXIC,2019-08-20,7989.359863,8010.580078,7948.089844,7948.560059,7948.560059,1.74758E9,7948.560059
IXIC,2019-10-07,7956.410156,8013.310059,7942.080078,7956.290039,7956.290039,1.73945E9,7956.290039
IXIC,2019-10-08,7898.27002,7921.879883,7823.72998,7823.779785,7823.779785,1.93358E9,7823.779785
IXIC,2019-10-24,8180.040039,8187.839844,8137.660156,8185.799805,8185.799805,1.88249E9,8185.799805
IXIC,2019-11-26,8635.400391,8659.730469,8625.620117,8647.929688,8647.929688,2.43457E9,8647.929688
IXIC,2019-12-17,8829.469727,8831.990234,8804.599609,8823.360352,8823.360352,2.37412E9,8823.360352
IXIC,2020-01-17,9392.370117,9393.480469,9346.80957,9388.94043,9388.94043,2.52267E9,9388.94043
IXIC,2020-02-10,9493.629883,9628.660156,9493.629883,9628.389648,9628.389648,2.17931E9,9628.389648
IXIC,2020-04-01,7459.5,7566.370117,7301.97998,7360.580078,7360.580078,3.68551E9,7360.580078
IXIC,2020-06-30,9875.290039,10085.58984,9863.669922,10058.76953,10058.76953,4.474E9,10058.76953
IXIC,2020-07-02,10268.66992,10310.36035,10194.05957,10207.62988,10207.62988,4.01753E9,10207.62988
IXIC,2020-09-14,11010.13965,11118.29004,10982.25977,11056.65039,11056.65039,3.71682E9,11056.65039
IXIC,2020-10-09,11487.59961,11581.23047,11476.66016,11579.94043,11579.94043,3.47562E9,11579.94043
IXIC,2021-01-05,12665.65039,12828.26953,12665.65039,12818.95996,12818.95996,6.90442E9,12818.95996
IXIC,2021-03-01,13406.16016,13596.58984,13362.66016,13588.83008,13588.83008,5.04771E9,13588.83008
IXIC,2021-03-08,12904.25977,13001.0,12599.23047,12609.16016,12609.16016,5.97126E9,12609.16016
IXIC,2021-04-16,14059.11035,14062.5,13977.04981,14052.33984,14052.33984,4.41464E9,14052.33984
IXIC,2021-04-22,13952.57031,14015.87012,13771.04004,13818.41016,13818.41016,4.39703E9,13818.41016
000001.SS,2016-03-11,2781.600098,2815.606934,2772.551025,2810.306885,2810.306885,127200.0,449.6491016
000001.SS,2016-05-04,2983.0271,3004.417969,2978.330078,2991.271973,2991.271973,165400.0,478.60351568
000001.SS,2016-11-17,3198.499023,3211.052979,3187.206055,3208.452881,3208.452881,214200.0,513.35246096
000001.SS,2016-12-09,3209.340088,3244.801025,3207.042969,3232.883057,3232.883057,204000.0,517.26128912
000001.SS,2016-12-13,3138.988037,3162.496094,3118.711914,3155.037109,3155.037109,185200.0,504.80593744
000001.SS,2017-02-22,3252.689941,3261.381104,3243.840088,3261.218018,3261.218018,207500.0,521.79488288
000001.SS,2017-03-15,3235.403076,3243.712891,3227.738037,3241.76001,3241.76001,144100.0,518.6816016
000001.SS,2017-06-06,3084.540039,3102.863037,3078.787109,3102.125977,3102.125977,113400.0,496.34015632000006
000001.SS,2017-06-20,3148.019043,3150.465088,3134.611084,3140.013916,3140.013916,141200.0,502.40222656
000001.SS,2017-08-04,3269.318115,3287.193115,3261.306885,3262.081055,3262.081055,275900.0,521.9329688
000001.SS,2017-08-25,3271.460938,3331.915039,3271.460938,3331.521973,3331.521973,205800.0,533.04351568
000001.SS,2017-10-31,3380.999023,3397.099121,3376.124023,3393.342041,3393.342041,153500.0,542.93472656
000001.SS,2017-11-15,3416.210938,3423.75,3396.381104,3402.524902,3402.524902,168800.0,544.4039843200001
000001.SS,2018-04-02,3169.779053,3192.340088,3159.986084,3163.178955,3163.178955,177700.0,506.1086328
000001.SS,2018-05-17,3170.006104,3172.766113,3148.621094,3154.282959,3154.282959,114000.0,504.68527344
000001.SS,2018-06-11,3057.339111,3063.610107,3037.914063,3052.782959,3052.782959,108600.0,488.44527344000005
000001.SS,2018-08-01,2882.506104,2897.399902,2823.928955,2824.533936,2824.533936,149500.0,451.92542976
000001.SS,2018-12-13,2607.144043,2645.836914,2599.458984,2634.049072,2634.049072,150700.0,421.44785152
000001.SS,2019-01-02,2497.881104,2500.278076,2456.423096,2465.291016,2465.291016,109900.0,394.44656256
000001.SS,2019-02-11,2613.174072,2654.095947,2613.174072,2653.895996,2653.895996,154900.0,424.62335936000005
000001.SS,2019-02-25,2838.389893,2961.794922,2838.389893,2961.282959,2961.282959,528700.0,473.80527344
000001.SS,2019-03-13,3062.326904,3065.288086,3013.931885,3026.950928,3026.950928,453200.0,484.31214848
000001.SS,2019-04-03,3159.146973,3219.256104,3152.332031,3216.294922,3216.294922,430500.0,514.60718752
000001.SS,2019-06-17,2880.423096,2902.480957,2877.394043,2887.62207,2887.62207,154000.0,462.0195312
000001.SS,2019-07-23,2886.899902,2901.360107,2883.050049,2899.939941,2899.939941,125400.0,463.99039056000004
000001.SS,2019-08-19,2835.52002,2883.100098,2829.850098,2883.100098,2883.100098,214500.0,461.29601568
000001.SS,2019-11-07,2978.149902,2988.959961,2969.120117,2978.709961,2978.709961,137000.0,476.59359376000003
000001.SS,2019-12-02,2874.449951,2888.889893,2870.23999,2875.810059,2875.810059,128800.0,460.12960943999997
000001.SS,2020-01-09,3082.639893,3097.329102,3080.131104,3094.88208,3094.88208,243400.0,495.1811328
000001.SS,2020-08-17,3373.9021,3450.898926,3369.374023,3438.801025,3438.801025,434600.0,550.208164
000001.SS,2020-08-18,3441.934082,3456.720947,3432.639893,3451.089111,3451.089111,380700.0,552.1742577599999
000001.SS,2020-09-18,3270.910889,3338.323975,3268.525879,3338.090088,3338.090088,256300.0,534.09441408
000001.SS,2020-10-27,3240.73999,3258.336914,3235.543945,3254.315918,3254.315918,149100.0,520.6905468799999
000001.SS,2020-11-06,3326.465088,3326.465088,3292.150879,3312.158936,3312.158936,234900.0,529.94542976
000001.SS,2021-02-25,3595.540039,3608.560059,3568.469971,3585.050049,3585.050049,366200.0,573.60800784
000001.SS,2021-03-02,3566.852051,3566.852051,3485.364014,3508.591064,3508.591064,339800.0,561.37457024
000001.SS,2021-03-15,3441.879883,3457.48999,3392.51001,3419.949951,3419.949951,367800.0,547.19199216
000001.SS,2021-04-30,3468.300049,3469.090088,3426.899902,3446.860107,3446.860107,312700.0,551.49761712
000001.SS,2021-05-27,3585.72998,3626.360107,3579.26001,3608.850098,3608.850098,309600.0,577.41601568
N225,2016-01-07,18139.76953,18172.03906,17767.33984,17767.33984,17767.33984,1.68E8,177.6733984
N225,2016-02-22,15851.38965,16187.40039,15816.83008,16111.04981,16111.04981,1.398E8,161.1104981
N225,2016-03-10,16811.0,16887.59961,16713.13086,16852.34961,16852.34961,1.356E8,168.52349610000002
N225,2016-03-14,17155.51953,17291.34961,17149.21094,17233.75,17233.75,1.409E8,172.3375
N225,2016-03-31,16997.14063,17033.65039,16758.66992,16758.66992,16758.66992,1.575E8,167.5866992
N225,2016-05-02,16357.09961,16357.09961,15975.46973,16147.37988,16147.37988,1.799E8,161.4737988
N225,2016-05-18,16611.40039,16795.4707,16513.16992,16644.68945,16644.68945,1.651E8,166.4468945
N225,2016-06-06,16373.32031,16581.30078,16322.63965,16580.0293,16580.0293,1.222E8,165.80029299999998
N225,2016-06-09,16742.0293,16785.83008,16587.76953,16668.41016,16668.41016,1.155E8,166.6841016
N225,2016-07-26,16535.81055,16535.81055,16323.09961,16383.04004,16383.04004,1.294E8,163.8304004
N225,2016-08-01,16415.31055,16677.49023,16319.15039,16635.76953,16635.76953,1.741E8,166.35769530000002
